country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_eu_integration,ches_gal_tan,ches_economy,ches_redistribute
UKR,3266,Fath,,,,,,,
UKR,3267,Fre,,,,,,,
UKR,4780,GP,,,,,,,
UKR,2220,KPU,,,,,,,
UKR,4773,NF,,,,,,,
UKR,4779,OB,,,,,,,
UKR,4775,PS,,,,,,,
UKR,4774,RP,,,,,,,
UKR,4776,SP,,,,,,,
UKR,3178,SU,,,,,,,
UKR,4772,ZASTUP,,,,,,,
XKX,3243,AAK,,,,,,,
XKX,3703,AKR,,,,,,,
XKX,2295,LDK,,,,,,,
XKX,4765,NISMA,,,,,,,
XKX,2294,PDK,,,,,,,
XKX,5499,SL,,,,,,,
XKX,2296,VV!,,,,,,,
