year,party_id,party,eu_position,eu_blur,lrgen,galtan,lrecon,redistribution
2010,805,AN,5.75,NA,7.333333015441895,7.333333015441895,5.222222328186035,4.875
2010,828,IdV,6.142857074737549,NA,4,3.5,4.714285850524902,3.75
2014,814,UDC,6.142857074737549,NA,5.285714149475098,7.857142925262451,5.285714149475098,6
2014,846,SC,6.857142925262451,NA,5.428571224212646,5.428571224212646,7.571428775787354,6.75
2014,847,VdA,5.333333492279053,NA,4.833333492279053,6,4.5,2
2014,843,CD,5.800000190734863,NA,5,6.285714149475098,5,5
2014,803,RC,2,NA,0.2857142984867096,1,0.1428571492433548,0.25
2014,848,NCD,5.714285850524902,NA,6.142857074737549,8,6,7
2019,813,RI,6.75,1.1666666,4.3125,0.4117647111415863,6.599999904632568,5.714285850524902
2019,845,M5S,3.473684310913086,6.25,4.777777671813965,3.736842155456543,3.21052622795105,1.894736886024475
2019,838,SI,5.266666889190674,3.8571429,1.444444417953491,0.6875,1,1
2019,844,FdI,1.947368383407593,1.5,9.052631378173828,9.421052932739258,6.388888835906982,5.529411792755127
2019,837,PD,6.789473533630371,1.8571428,3.21052622795105,2.263157844543457,3.578947305679321,2.722222328186035
2019,811,LN,1.684210538864136,3.125,8.789473533630371,9.210526466369627,7.684210300445557,7.315789699554443
2019,827,SVP,5.900000095367432,2,5.166666507720947,6.666666507720947,5.125,5.199999809265137
2019,815,FI,4.894736766815186,5,6.947368621826172,6.842105388641357,7.842105388641357,6.888888835906982
1999,1007,GPV,3.181818246841431,NA,6.699999809265137,8.636363983154297,5.800000190734863,NA
1999,1009,CD,1.444444417953491,NA,9.375,9.25,8.571428298950195,NA
1999,1008,RPF,3.363636255264282,NA,6.800000190734863,8.545454978942871,6,NA
2002,1015,LPF,2.78,NA,8.375,5.44,8.11,NA
2019,1002,PvdA,5.916666507720947,3.875,3.615384578704834,3.076923131942749,3.615384578704834,2.833333253860474
2019,1051,FvD,1.076923131942749,3.1111112,9.538461685180664,8.333333015441895,9.083333015441896,8.666666984558105
2019,1017,PVV,1.307692289352417,1.4444444,8.692307472229004,7.230769157409668,6.461538314819336,5.833333492279053
2019,1005,GL,6.461538314819336,1.8888888,2.307692289352417,0.8461538553237915,2.384615421295166,2.181818246841431
2019,1016,CU,4,2.2857144,5.07692289352417,8.15384578704834,4.307692527770996,4.181818008422852
2019,1004,D66,6.92307710647583,1.3333334,5.153846263885498,1.384615421295166,6.230769157409668,5.75
2019,1001,CDA,5.333333492279053,4.75,6.846153736114502,7.153846263885498,6.692307472229004,6
2019,1018,PVdD,2.636363744735718,2.1666667,2.384615421295166,2.923076868057251,3.181818246841431,3.111111164093018
2019,1014,SP,2.833333253860474,3.25,1.384615421295166,4.307692527770996,1.384615421295166,0.75
2019,1003,VVD,5.083333492279053,6,7.615384578704834,5,8.15384578704834,8.25
2019,1006,SGP,2.916666746139526,2.7142856,8.538461685180664,9.923076629638672,7.166666507720947,7.166666507720947
2019,1020,50PLUS,3.857142925262451,4.3333335,5.083333492279053,5.599999904632568,4.454545497894287,4.400000095367432
2019,1050,DENK,4.666666507720947,2.6666667,4.363636493682861,7.545454502105713,3.5,3.125
2010,1109,BNP,1.200000047683716,NA,9.928571701049805,9.533333778381348,5.846153736114502,3.666666746139526
2019,1105,SNP,6.5625,1,3.5,2.666666746139526,3.4375,3.125
2019,1107,GREEN,6.705882549285889,1.2857143,2,0.8125,2.117647171020508,1.875
2019,1108,UKIP,1,0,8.6875,8.199999809265137,7.733333110809326,7.066666603088379
2019,1104,LIBDEM,6.764705657958984,0.44444445,4.235294342041016,1.529411792755127,4.470588207244873,3.470588207244873
2019,1110,BREXIT,1.875,3,8.199999809265137,8.615385055541992,6.888888835906982,6.375
